時間戳記,OGS,KGS,DGS,IGS (pandanet パンダネット),Foxwq (野狐围棋),Tygem (with 奕城/棋城/東洋囲碁),WBaduk (with 新浪囲棋/幽玄の間),LGS (傳奇圍棋網),LKGS (烂柯围棋),INGO,GoQuest (囲碁クエスト),AGA,EGF ,Korea ,China,Japan,Taiwan
2020/3/21 上午 7:02:31,6d,,,,,,,,,,,,,,,,5d
2020/3/21 上午 7:38:52,9k,5k,,8k,6k,11k,11k,,,,,,,,,,
2020/3/21 上午 7:41:56,4k,,,1k,,,,,,,,1d,,,,,
2020/3/21 上午 7:42:25,6k,4k,,,,,,,,,,,,,,,
2020/3/21 上午 7:51:35,15k,,,,,,,,,,,,20k,,,,
2020/3/21 上午 8:04:57,11k,,,,,,,,,,1d,,,,,,
2020/3/21 上午 8:14:30,23k,,,,,,,,,,,,,,,,
2020/3/21 上午 8:30:47,,,,2d,,3d,,,,,,1d,,,,,
2020/3/21 上午 8:45:25,12k,8k,,10k,11k,,,,,,,,,,,,
2020/3/21 上午 9:36:04,,3k,,,,,,,,,,6k,,,,,
2020/3/21 上午 11:11:38,15k,,,,,,,,,,,,,,,,
2020/3/21 上午 11:43:35,2k,1d,,,,2d,,,,,,,,,,,
2020/3/21 下午 12:37:17,8k,6k,,11k,6k,,,,,,,,,,,,
2020/3/21 下午 12:45:50,,,,3d,,3d,,,,,,1d,,,,,
2020/3/21 下午 1:45:12,2d,2d,,,,6d,,,,,,5d,,,,,
2020/3/21 下午 1:54:30,2d,6d,,6d,8d,8d,,,,,,5d,,,,7d,
2020/3/21 下午 2:21:56,5k,2k,,5k,3k,4k,,,,,,5k,,,,,
2020/3/21 下午 2:31:38,3d,2d,,3d,,,,,,,,,,,,,
2020/3/21 下午 2:48:56,5k,2k,,4k,2d,1d,2k,,,,,,,,,,
2020/3/21 下午 3:45:37,3d,,,,6d,6d,,,,,,,3d,,,,
2020/3/21 下午 4:02:13,6k,4k,,,1d,,,,,,1 dan 9x9 & 1 dan 13x13,,,,,,
2020/3/21 下午 4:06:36,4k,1k,,5k,3k,,,,,,,,,,,,
2020/3/21 下午 4:13:54,6d,,,,7d,8d,7d,,,,,,,,,,
2020/3/21 下午 4:17:57,1k,,,,3d,,,,,,,,,,,,
